Times for foot lifting from hardware experiment videos for IROS 2018,,,,
,,,,
Foot,Test no,Begin time (s),Foot lift time (s),Total time index for experiment
A,1,5.67,11.8,6.13
A,2,13.4,19.4,6
A,3,7.45,13.6,6.15
A,4,5.78,12.9,7.12
A,5,6.27,12.4,6.13
B,1,9.93,19.1,9.17
B,2,9.3,17.5,8.2
B,3,8.06,17.1,9.04
B,4,6.91,15,8.09
B,5,5.98,14.9,8.92
C,1,10,18.1,8.1
C,2,6.92,15,8.08
C,3,8.09,17.1,9.01
C,4,8.47,17.5,9.03
C,5,6.34,14.6,8.26
D,1,8.09,15.8,7.71
D,2,7.06,13.3,6.24
D,3,7.18,15.2,8.02
D,4,8.34,15.5,7.16
D,5,7.42,14.5,7.08
